home_avg_goals,away_avg_goals,home_win_rate_weighted,away_win_rate_weighted,home_points,away_points,home_position,away_position,home_goal_diff,away_goal_diff,h2h_home_wins,h2h_away_wins,h2h_draws,winner
2.2,0.8,0.10526315789473684,0.02631578947368421,13.0,5.0,3.0,15.0,7.0,-1.0,3,3,0,HOME_TEAM
1.4,1.5,0.05263157894736842,0.02631578947368421,6.0,3.0,12.0,17.0,-1.0,-3.0,2,1,3,DRAW
2.6,0.8,0.10526315789473684,0.02631578947368421,13.0,4.0,2.0,16.0,9.0,-3.0,5,0,1,HOME_TEAM
1.0,1.4,0.0,0.07894736842105263,1.0,9.0,20.0,6.0,-6.0,3.0,0,1,1,DRAW
1.6,1.0,0.02631578947368421,0.05263157894736842,6.0,7.0,11.0,8.0,1.0,-2.0,2,2,2,HOME_TEAM
1.2,1.6,0.07894736842105263,0.05263157894736842,9.0,6.0,7.0,13.0,-2.0,-2.0,0,3,2,DRAW
0.2,1.8,0.0,0.02631578947368421,2.0,3.0,19.0,18.0,-3.0,-7.0,1,0,1,HOME_TEAM
1.0,1.0,0.05263157894736842,0.05263157894736842,7.0,7.0,10.0,9.0,-5.0,-2.0,1,0,1,DRAW
2.0,2.0,0.05263157894736842,0.13157894736842105,10.0,15.0,4.0,1.0,7.0,7.0,2,1,3,HOME_TEAM
1.2,1.1666666666666667,0.02631578947368421,0.0,4.0,2.0,17.0,20.0,-3.0,-6.0,1,0,1,HOME_TEAM
1.1666666666666667,2.6666666666666665,0.02631578947368421,0.13157894736842105,5.0,16.0,16.0,1.0,-3.0,10.0,0,5,1,DRAW
1.5,2.6666666666666665,0.05263157894736842,0.13157894736842105,7.0,16.0,12.0,2.0,-2.0,9.0,3,2,1,AWAY_TEAM
1.8333333333333333,0.3333333333333333,0.13157894736842105,0.02631578947368421,15.0,5.0,3.0,15.0,5.0,-2.0,3,0,1,HOME_TEAM
1.8333333333333333,1.3333333333333333,0.10526315789473684,0.05263157894736842,13.0,7.0,5.0,13.0,7.0,-3.0,2,2,2,DRAW
1.0,1.1666666666666667,0.05263157894736842,0.07894736842105263,8.0,10.0,9.0,7.0,-2.0,-2.0,0,0,2,DRAW
1.5,2.0,0.07894736842105263,0.05263157894736842,10.0,9.0,6.0,8.0,3.0,2.0,1,3,1,AWAY_TEAM
1.0,0.8333333333333334,0.02631578947368421,0.05263157894736842,4.0,6.0,18.0,14.0,-4.0,-4.0,2,2,2,DRAW
1.5,1.0,0.02631578947368421,0.05263157894736842,3.0,8.0,19.0,10.0,-8.0,-5.0,0,1,1,DRAW
1.1666666666666667,2.2,0.05263157894736842,0.07894736842105263,7.0,13.0,11.0,4.0,-1.0,9.0,2,3,0,AWAY_TEAM
2.5714285714285716,1.8333333333333333,0.13157894736842105,0.05263157894736842,17.0,7.0,3.0,12.0,10.0,1.0,5,1,0,HOME_TEAM
1.4285714285714286,1.4285714285714286,0.05263157894736842,0.05263157894736842,8.0,7.0,11.0,13.0,-3.0,-3.0,1,2,3,DRAW
1.0,1.2857142857142858,0.07894736842105263,0.02631578947368421,11.0,6.0,7.0,16.0,-2.0,-3.0,1,3,2,DRAW
2.5714285714285716,1.8571428571428572,0.15789473684210525,0.15789473684210525,19.0,18.0,1.0,2.0,10.0,7.0,0,4,2,AWAY_TEAM
1.8571428571428572,1.8571428571428572,0.07894736842105263,0.10526315789473684,12.0,14.0,6.0,5.0,3.0,7.0,2,2,2,HOME_TEAM
1.1428571428571428,1.4285714285714286,0.0,0.02631578947368421,2.0,4.0,20.0,19.0,-10.0,-8.0,0,0,2,DRAW
0.8571428571428571,1.0,0.05263157894736842,0.05263157894736842,7.0,7.0,15.0,14.0,-4.0,-3.0,0,3,3,AWAY_TEAM
1.0,1.2857142857142858,0.05263157894736842,0.07894736842105263,9.0,10.0,10.0,8.0,-5.0,2.0,3,1,2,HOME_TEAM
2.1666666666666665,0.8571428571428571,0.10526315789473684,0.05263157894736842,16.0,9.0,4.0,9.0,11.0,-2.0,1,1,0,HOME_TEAM
0.2857142857142857,1.0,0.02631578947368421,0.02631578947368421,5.0,5.0,18.0,17.0,-4.0,-4.0,1,2,1,HOME_TEAM
1.625,1.375,0.10526315789473684,0.0,14.0,3.0,6.0,20.0,4.0,-10.0,1,0,1,HOME_TEAM
1.0,2.25,0.05263157894736842,0.15789473684210525,9.0,19.0,12.0,4.0,-3.0,7.0,0,2,0,AWAY_TEAM
2.0,1.125,0.18421052631578946,0.07894736842105263,21.0,10.0,1.0,10.0,10.0,-1.0,4,1,1,HOME_TEAM
1.375,1.125,0.02631578947368421,0.07894736842105263,7.0,10.0,16.0,9.0,-3.0,-1.0,1,1,4,DRAW
1.5714285714285714,1.125,0.05263157894736842,0.07894736842105263,7.0,12.0,15.0,8.0,0.0,-2.0,3,0,3,DRAW
1.25,0.5,0.05263157894736842,0.05263157894736842,8.0,8.0,13.0,14.0,-3.0,-3.0,2,2,0,AWAY_TEAM
2.2857142857142856,2.0,0.13157894736842105,0.10526315789473684,19.0,15.0,3.0,5.0,12.0,6.0,4,0,2,HOME_TEAM
1.0,1.25,0.02631578947368421,0.05263157894736842,5.0,9.0,18.0,11.0,-5.0,-3.0,2,2,2,DRAW
0.75,1.25,0.05263157894736842,0.07894736842105263,7.0,12.0,17.0,7.0,-6.0,-2.0,2,1,3,DRAW
1.625,2.375,0.02631578947368421,0.15789473684210525,5.0,20.0,19.0,2.0,-8.0,11.0,0,0,2,DRAW
1.0,1.6666666666666667,0.07894736842105263,0.02631578947368421,10.0,6.0,12.0,19.0,-5.0,-8.0,1,1,0,HOME_TEAM
1.8888888888888888,1.3333333333333333,0.10526315789473684,0.02631578947368421,15.0,8.0,6.0,15.0,5.0,-3.0,4,2,0,HOME_TEAM
1.3333333333333333,1.2222222222222223,0.05263157894736842,0.07894736842105263,10.0,13.0,11.0,8.0,-3.0,-2.0,1,3,2,DRAW
1.625,2.2222222222222223,0.05263157894736842,0.21052631578947367,8.0,24.0,14.0,1.0,0.0,14.0,0,4,1,DRAW
1.1111111111111112,2.25,0.02631578947368421,0.15789473684210525,6.0,22.0,18.0,2.0,-5.0,13.0,0,3,2,AWAY_TEAM
