id,api_id,home_team_id,away_team_id,utc_date,status,matchday,season,stage,match_group,venue,attendance,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,duration
1ea18d9c-0e94-433c-99a9-6cc513f8e0b5,438484,2b79acbf-a318-4dec-a715-1e5c8c4650fb,79785123-bd6e-4ff6-9051-b0dd8a1f6d3a,2023-08-20 19:30:00+00:00,FINISHED,2,2023,REGULAR_SEASON,,,,0.0,0.0,0.0,0.0,DRAW,REGULAR
83f0b2cf-f62d-4968-b74f-9c64c9a7fb2c,438486,f3099b27-f87a-4653-ba57-adf3db6b23b1,e62177e5-8d6c-49bb-8976-c27dee2c45d8,2023-08-21 17:00:00+00:00,FINISHED,2,2023,REGULAR_SEASON,,,,4.0,3.0,2.0,2.0,HOME_TEAM,REGULAR
fab0a1b6-bdc6-4410-910f-a823060fb519,438489,3b48068f-fbb6-46ec-ae45-850446caa5e7,776ffaa5-82b0-4504-a760-3d385ce60ff6,2023-08-21 19:30:00+00:00,FINISHED,2,2023,REGULAR_SEASON,,,,0.0,2.0,0.0,0.0,AWAY_TEAM,REGULAR
e5483f5b-54c1-4f1a-b439-62769fdf83d4,438503,47b3659f-29ba-426f-a4c0-bdf16055398d,eb446237-fdbf-4029-8610-1507ab91f546,2023-08-25 17:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,0.0,0.0,0.0,0.0,DRAW,REGULAR
c6774d9f-8439-48f4-bdbd-d81665d6df3f,438495,e9c816f0-cabf-4b26-831f-85d24b158ec0,1b568ca8-98c9-4875-86bd-5640dfe6b37c,2023-08-25 19:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,0.0,1.0,0.0,0.0,AWAY_TEAM,REGULAR
1e1b0f5e-7d5f-45b8-a9a6-83a847809179,438496,8ab525d0-81ce-4632-abd1-36e8b0c2cc71,9a35349b-8999-4985-842e-fe0086ebbf29,2023-08-26 17:00:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,1.0,1.0,0.0,0.0,DRAW,REGULAR
5da1ee45-6a3c-449c-8723-d5d0f0df4325,438498,3b48068f-fbb6-46ec-ae45-850446caa5e7,497ccfe2-3a48-4e90-bf72-cb8e3e4562ce,2023-08-26 17:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,3.0,2.0,1.0,1.0,HOME_TEAM,REGULAR
81632b43-f5b1-47fc-bc66-40596f8b92d5,438499,e62177e5-8d6c-49bb-8976-c27dee2c45d8,708b3ec0-c513-44d3-afef-2d9ac81faced,2023-08-26 19:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,1.0,2.0,1.0,1.0,AWAY_TEAM,REGULAR
04b1553f-783a-49c5-844f-93b0f0d141b0,438501,223f5f8c-5e64-4364-a041-86799226cde3,6a0a0bba-7c6b-496b-95f1-3276aaf40fc9,2023-08-27 15:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,3.0,4.0,2.0,2.0,AWAY_TEAM,REGULAR
910ec149-1c22-41f5-b0ad-b780757d2c7f,438500,f0ec68f2-03df-40b2-ad4d-b07d3cf73984,b583b3ae-d2b3-4736-a362-812d6470fea5,2023-08-27 17:30:00+00:00,FINISHED,3,2023,REGULAR_SEASON,,,,1.0,2.0,0.0,1.0,AWAY_TEAM,REGULAR
